,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENSEMBL,symbol
ENSMUSG00000019795,1772.11852226452,0.063658897105105,0.0506299137489953,1.25733765656214,0.208631393763242,0.463342195093908,ENSMUSG00000019795,Pcmt1
ENSMUSG00000019796,57.9535217085404,0.0580542365415541,0.259723381761108,0.223523335280425,0.823128223582684,0.928207098907693,ENSMUSG00000019796,Lrp11
ENSMUSG00000019797,176.014693468102,-0.268061203625487,0.145879367187445,-1.83755392413409,0.0661281635919352,0.232561138941354,ENSMUSG00000019797,1700021F05Rik
ENSMUSG00000019802,1783.95292101053,-0.112243654849655,0.0462892176198736,-2.42483370039645,0.015315400618945,0.0847546769064929,ENSMUSG00000019802,Sec63
ENSMUSG00000019803,0,NA,NA,NA,NA,NA,ENSMUSG00000019803,Nr2e1
ENSMUSG00000019804,2646.82648326279,-0.072559446424902,0.0427668626960399,-1.69662775922118,0.0897670582526384,0.283767416187098,ENSMUSG00000019804,Snx3
ENSMUSG00000019806,122.405767915494,-0.0471733837510137,0.16041412209894,-0.29407251140843,0.768702495376826,0.901032617396539,ENSMUSG00000019806,Aig1
ENSMUSG00000019808,196.915921170294,-0.121032687615997,0.130272251034115,-0.92907496919127,0.352850235457335,0.619720281348817,ENSMUSG00000019808,Adat2
ENSMUSG00000019809,322.665213925567,-0.205452426319094,0.100196939024568,-2.05048605595344,0.0403170231338305,0.167879937285017,ENSMUSG00000019809,Pex3
ENSMUSG00000019810,2448.07978751518,-0.126141377174846,0.0411699158472104,-3.06392118077146,0.0021845645747415,0.0195094158083389,ENSMUSG00000019810,Fuca2
ENSMUSG00000019813,286.140759851594,0.0517507150212814,0.111503902300308,0.464115730065698,0.642564832433213,0.834706840713253,ENSMUSG00000019813,Cep57l1
ENSMUSG00000019814,916.496204680219,-0.1944025056695,0.0635543348241491,-3.05883943569545,0.00222196204119947,0.0197118091426834,ENSMUSG00000019814,Ltv1
ENSMUSG00000019815,0.325047114699136,-1.84794813429279,3.28221558329399,-0.563018512159464,0.573422278270327,NA,ENSMUSG00000019815,Zc2hc1b
ENSMUSG00000019817,4.01448642757611,0.473835062205415,0.952856085533502,0.497278728025456,0.618992510268339,NA,ENSMUSG00000019817,Plagl1
ENSMUSG00000019818,7388.41191272376,-0.231932559161795,0.0334960202251781,-6.92418256266329,4.3850012169638e-12,3.49181823098462e-10,ENSMUSG00000019818,Cd164
ENSMUSG00000019820,1277.5278806925,0.263981506206638,0.0552529573184243,4.77769008245669,1.77320399386477e-06,4.42574076251568e-05,ENSMUSG00000019820,Utrn
ENSMUSG00000019822,268.981174563148,-0.156858685186594,0.111941760859384,-1.40125261548844,0.16113854538923,0.39994646757275,ENSMUSG00000019822,Smpd2
ENSMUSG00000019823,1437.75368084979,-0.0625974906331605,0.0560219633019321,-1.11737409658047,0.263834405906375,0.52605204854608,ENSMUSG00000019823,Mical1
ENSMUSG00000019826,362.225668651123,0.1035847063852,0.108706020911939,0.952888400442077,0.340646617830448,0.61047048501971,ENSMUSG00000019826,Zbtb24
ENSMUSG00000019828,6.22324520488493,-0.305231049460501,0.812343130938723,-0.375741528223158,0.70710906128008,NA,ENSMUSG00000019828,Grm1
ENSMUSG00000019831,4.96568260149704,0.505150952187404,0.786163787608253,0.642551794104159,0.520514971192196,NA,ENSMUSG00000019831,Wasf1
ENSMUSG00000019832,2061.50721697288,0.0351399035177025,0.0483684629578163,0.72650444874275,0.4675295812469,0.718672567036155,ENSMUSG00000019832,Rab32
ENSMUSG00000019834,0.0954959891809238,0,4.40735632396697,0,1,NA,ENSMUSG00000019834,Slc22a16
ENSMUSG00000019836,311.304025637234,-0.225837373271863,0.104033800675011,-2.1708076779522,0.0299457133189944,0.135479603002546,ENSMUSG00000019836,NA
ENSMUSG00000019837,581.231274246676,-0.091056909420938,0.0792360716111378,-1.14918505636943,0.250479681471721,0.514994625334006,ENSMUSG00000019837,Gtf3c6
ENSMUSG00000019838,674.5145306011,-0.127333938461555,0.0781077650845261,-1.63023405321811,0.103052039346973,0.307687400604139,ENSMUSG00000019838,Slc16a10
ENSMUSG00000019841,917.616231649774,0.00271109082205423,0.0762639187192287,0.035548800370924,0.971642133875299,0.988670551168065,ENSMUSG00000019841,Rev3l
ENSMUSG00000019842,51.8349223664416,0.079940929689874,0.260581987481369,0.306778417274868,0.759012037161449,0.895894038569426,ENSMUSG00000019842,Traf3ip2
ENSMUSG00000019843,366.714916923144,0.338720361504996,0.113715227620758,2.97867197377147,0.00289500520543659,0.0242133732562354,ENSMUSG00000019843,Fyn
ENSMUSG00000019845,362.876234150685,0.0521271019447166,0.100020665666093,0.521163317576156,0.602253005537951,0.810342222121065,ENSMUSG00000019845,Tube1
ENSMUSG00000019846,1.03348254193089,2.43187374199161,2.03168987828855,1.19697093930505,0.231317881962814,NA,ENSMUSG00000019846,Lama4
ENSMUSG00000019848,0.220043247335234,1.59954744696879,4.38492967623686,0.364782919013999,0.715273456459762,NA,ENSMUSG00000019848,Popdc3
ENSMUSG00000019849,1857.33725726412,-0.0999411267758924,0.0492409484965313,-2.02963447755139,0.042393707626306,0.174291032767278,ENSMUSG00000019849,Prep
ENSMUSG00000019850,499.545477865486,0.429335553064924,0.293858286740575,1.46102925266134,0.144007413735361,0.372780801267735,ENSMUSG00000019850,Tnfaip3
ENSMUSG00000019851,110.289536355907,0.28299243155962,0.199689045550609,1.41716552742949,0.156434537927646,0.393149582926532,ENSMUSG00000019851,Perp
ENSMUSG00000019852,190.1397756435,0.108377368731588,0.132971703871037,0.815040836332355,0.415048935442393,0.674832846177483,ENSMUSG00000019852,Arfgef3
ENSMUSG00000019853,5.47243928988859,-0.744281328237109,0.733867078301562,-1.01419092127644,0.310491659834501,NA,ENSMUSG00000019853,Hebp2
ENSMUSG00000019854,1268.78627111396,0.0237181624130315,0.0571219430721318,0.415219811116737,0.677980997316333,0.85469560705785,ENSMUSG00000019854,Reps1
ENSMUSG00000019856,14.7079038967764,0.182094972821238,0.517126590681757,0.352128426776841,0.724741950472072,NA,ENSMUSG00000019856,Fam184a
ENSMUSG00000019857,370.885334696596,-0.19718052390631,0.0987223617864513,-1.9973238113249,0.0457900183230095,0.183077963277113,ENSMUSG00000019857,Asf1a
ENSMUSG00000019861,508.440847098974,0.0378322775275744,0.0847404769929889,0.446448720494039,0.655273146371266,0.842236432201012,ENSMUSG00000019861,Gopc
ENSMUSG00000019863,294.987855777055,0.0215148824839261,0.104884337553965,0.205129602623998,0.837470868627426,0.933377318442322,ENSMUSG00000019863,Qrsl1
ENSMUSG00000019864,300.426531842625,-0.00787751390171142,0.112636854117315,-0.069937268431758,0.944243589819678,0.976616692370385,ENSMUSG00000019864,Rtn4ip1
ENSMUSG00000019865,2.43449464086452,0.27353063858161,1.38838419799393,0.197013650095438,0.843816855897328,NA,ENSMUSG00000019865,Nmbr
ENSMUSG00000019866,162.365237746916,0.322111571592927,0.155853136888159,2.06676348018633,0.0387564462407191,0.16366279602536,ENSMUSG00000019866,Crybg1
ENSMUSG00000019867,0,NA,NA,NA,NA,NA,ENSMUSG00000019867,Gje1
ENSMUSG00000019868,478.018513019066,-0.0692147447151098,0.0934147818353764,-0.740939959984984,0.458729845152774,0.710946231285196,ENSMUSG00000019868,Vta1
ENSMUSG00000019872,1446.07806865513,-0.217039671320177,0.0623693299511827,-3.47991026182352,0.00050158175776181,0.00607539892834401,ENSMUSG00000019872,Smpdl3a
ENSMUSG00000019873,1820.13919915029,-0.0493487543578351,0.0488944091626241,-1.00929237520183,0.312834435788045,0.581748551844936,ENSMUSG00000019873,Reep3
ENSMUSG00000019874,1.78416236902082,0.384542051135511,1.75292163560834,0.219372071930676,0.826360223552605,NA,ENSMUSG00000019874,Fabp7
ENSMUSG00000019876,221.945274529439,0.171803249885757,0.151351614658605,1.13512664052699,0.256322260844352,0.51869976706254,ENSMUSG00000019876,Pkib
